date,entries,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,winners_9,winners_10,winners_11,winners_12,jpad_1,jpad_2,jpad_3,jpad_4,jpad_5,jpad_6,jpad_7,jpad_8,jpad_9,jpad_10,jpad_11,jpad_12,jpad_booster,fund_1,fund_2,fund_3,fund_4,fund_5,fund_6,fund_7,fund_8,fund_9,fund_10,fund_11,fund_12,to_roll_over_1,to_roll_over_2,to_roll_over_3,to_roll_over_4,to_roll_over_5,to_roll_over_6,to_roll_over_7,to_roll_over_8,to_roll_over_9,to_roll_over_10,to_roll_over_11,to_roll_over_12,rojp_1,rojp_2,rojp_3,rojp_4,rojp_5,rojp_6,rojp_7,rojp_8,rojp_9,rojp_10,rojp_11,rojp_12,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,prize_9,prize_10,prize_11,prize_12
2017-Dec-29,19584728,0,1,2,43,595,976,1739,25800,27901,46663,147178,434405,35011368.28,1664701.88,587541.84,195847.28,176262.552,137093.096,117508.368,607126.568,587541.84,842143.304,1527608.784,3740683.048,21591583.4,35011368.28,1664701.88,587541.84,195847.28,176262.552,137093.096,117508.368,607126.568,587541.84,842143.304,1527608.784,3740683.048,35011368.28,0,0,0,0,0,0,0,0,0,0,0,27960866.2,0,0,0,0,0,0,0,0,0,0,0,0,1664701.8,293770.9,4554.5,296.2,140.4,67.5,23.5,21,18,10.3,8.6
2018-Jan-05,21310771,0,4,8,32,662,1186,1578,23850,30358,54020,128698,472493,44274829.24,1811415.535,639323.13,213107.71,191796.939,149175.397,127864.626,660633.901,639323.13,916363.153,1662240.138,4070357.261,22574009.04,44274829.24,1811415.535,639323.13,213107.71,191796.939,149175.397,127864.626,660633.901,639323.13,916363.153,1662240.138,4070357.261,44274829.24,0,0,0,0,0,0,0,0,0,0,0,35011368.28,0,0,0,0,0,0,0,0,0,0,0,0,452853.8,79915.3,6659.6,289.7,125.7,81,27.6,21,16.9,12.9,8.6
2018-Jan-12,24505497,0,1,7,44,838,1811,2410,38213,36706,70808,205938,557705,55670817.2,2082967.245,735164.91,245054.97,220549.473,171538.479,147032.982,759670.407,735164.91,1053736.371,1911428.766,4680549.927,23018915.68,55670817.2,2082967.245,735164.91,245054.97,220549.473,171538.479,147032.982,759670.407,735164.91,1053736.371,1911428.766,4680549.927,55670817.2,0,0,0,0,0,0,0,0,0,0,0,44274829.24,0,0,0,0,0,0,0,0,0,0,0,0,2082967.2,105023.5,5569.4,263.1,94.7,61,19.9,19.9,14.8,9.2,8.3
2018-Jan-19,28051329,0,5,3,74,1090,1919,3113,43059,48899,86782,219136,687775,68788211.32,2384362.965,841539.87,280513.29,252461.961,196359.303,168307.974,869591.199,841539.87,1206207.147,2188003.662,5357803.839,23460122.76,68788211.32,2384362.965,841539.87,280513.29,252461.961,196359.303,168307.974,869591.199,841539.87,1206207.147,2188003.662,5357803.839,68788211.32,0,0,0,0,0,0,0,0,0,0,0,55670817.2,0,0,0,0,0,0,0,0,0,0,0,0,476872.5,280513.2,3790.7,231.6,102.3,54,20.1,17.2,13.8,9.9,7.7
2018-Jan-26,35652257,0,2,6,124,1522,2261,4706,66728,66577,100814,338459,931749,85083146.6,3030441.845,1069567.71,356522.57,320870.313,249565.799,213913.542,1105219.967,1069567.71,1533047.051,2780876.046,6809581.087,24301296.48,85083146.6,3030441.845,1069567.71,356522.57,320870.313,249565.799,213913.542,1105219.967,1069567.71,1533047.051,2780876.046,6809581.087,85083146.6,0,0,0,0,0,0,0,0,0,0,0,68788211.32,0,0,0,0,0,0,0,0,0,0,0,0,1515220.9,178261.2,2875.1,210.8,110.3,45.4,16.5,16,15.2,8.2,7.3
2018-Feb-02,47338185,0,7,6,102,1799,2917,4165,62245,82832,129148,330727,1186544,9e+07,20449935.41,1420145.55,473381.85,426043.665,331367.295,284029.11,1467483.735,1420145.55,2035541.955,3692378.43,9041593.335,25742844.18,106426189.7,4023745.725,1420145.55,473381.85,426043.665,331367.295,284029.11,1467483.735,1420145.55,2035541.955,3692378.43,9041593.335,9e+07,0,0,0,0,0,0,0,0,0,0,0,85083146.6,0,0,0,0,0,0,0,0,0,0,0,0,2921419.3,236690.9,4640.9,236.8,113.5,68.1,23.5,17.1,15.7,11.1,7.6
2018-Feb-09,50386168,1,8,9,150,1678,2747,6234,98760,85007,138572,496340,1272441,9e+07,28164688.94,1511585.04,503861.68,453475.512,352703.176,302317.008,1561971.208,1511585.04,2166605.224,3930121.104,9623758.088,26146302.28,113881864.7,4282824.28,1511585.04,503861.68,453475.512,352703.176,302317.008,1561971.208,1511585.04,2166605.224,3930121.104,9623758.088,0,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,3520586.1,167953.8,3359,270.2,128.3,48.4,16.7,16.7,15.6,7.9,7.5
2018-Feb-16,18997007,0,1,7,42,791,1807,1440,19578,31177,73274,104249,417353,12985224.8,1614745.595,569910.21,189970.07,170973.063,132979.049,113982.042,588907.217,569910.21,816871.301,1481766.546,3628428.337,22331712.08,12985224.8,1614745.595,569910.21,189970.07,170973.063,132979.049,113982.042,588907.217,569910.21,816871.301,1481766.546,3628428.337,12985224.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614745.5,81415.7,4523,216.1,76,76,30,18.2,12.9,12.9,8.6
2018-Feb-23,19284479,0,3,4,32,812,1579,1478,21106,29958,59733,111170,410517,22259349.32,1639180.715,578534.37,192844.79,173560.311,134991.353,115706.874,597818.849,578534.37,829232.597,1504189.362,3683335.489,22353358.96,22259349.32,1639180.715,578534.37,192844.79,173560.311,134991.353,115706.874,597818.849,578534.37,829232.597,1504189.362,3683335.489,22259349.32,0,0,0,0,0,0,0,0,0,0,0,12985224.8,0,0,0,0,0,0,0,0,0,0,0,0,546393.5,144633.5,6026.3,213.7,85.4,78.2,28.3,19.3,13.8,13.5,8.9
2018-Mar-02,20740030,0,4,4,61,707,1113,2712,36448,35950,57170,194201,526600,32079119.08,1762902.55,622200.9,207400.3,186660.27,145180.21,124440.18,642940.93,622200.9,891821.29,1617722.34,3961345.73,22514200.1,32079119.08,1762902.55,622200.9,207400.3,186660.27,145180.21,124440.18,642940.93,622200.9,891821.29,1617722.34,3961345.73,32079119.08,0,0,0,0,0,0,0,0,0,0,0,22259349.32,0,0,0,0,0,0,0,0,0,0,0,0,440725.6,155550.2,3400,264,130.4,45.8,17.6,17.3,15.5,8.3,7.5
2018-Mar-09,22437223,1,6,6,150,1311,1898,4101,51537,44044,69914,252600,580152,42670719.46,1907163.955,673116.69,224372.23,201935.007,157060.561,134623.338,695553.913,673116.69,964800.589,1750103.394,4285509.593,22741356.68,42670719.46,1907163.955,673116.69,224372.23,201935.007,157060.561,134623.338,695553.913,673116.69,964800.589,1750103.394,4285509.593,0,0,0,0,0,0,0,0,0,0,0,0,32079119.08,0,0,0,0,0,0,0,0,0,0,0,42670719.4,317860.6,112186.1,1495.8,154,82.7,32.8,14.3,14.3,13.7,7.2,7.2
2018-Mar-16,17137722,0,0,1,29,524,910,1562,22988,28338,44275,125062,436602,1e+07,1456706.37,514131.66,171377.22,154239.498,119964.054,102826.332,531269.382,514131.66,736922.046,1336742.316,3273304.902,21024516.81,1e+07,1456706.37,514131.66,171377.22,154239.498,119964.054,102826.332,531269.382,514131.66,736922.046,1336742.316,3273304.902,1e+07,1456706.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514131.6,5909.5,294.3,131.8,65.8,23.1,18.1,16.6,10.6,7.4
2018-Mar-23,17880450,1,7,8,55,695,1860,1581,21688,25671,63409,112488,357287,17461478.81,2976544.62,536413.5,178804.5,160924.05,125163.15,107282.7,554293.95,536413.5,768859.35,1394675.1,3415165.95,22170517.48,17461478.81,2976544.62,536413.5,178804.5,160924.05,125163.15,107282.7,554293.95,536413.5,768859.35,1394675.1,3415165.95,0,0,0,0,0,0,0,0,0,0,0,0,1e+07,1456706.37,0,0,0,0,0,0,0,0,0,0,17461478.8,425220.6,67051.6,3250.9,231.5,67.5,67.5,25.5,20.8,12.3,12.3,9.5
2018-Mar-30,16148196,0,4,4,64,816,1239,2673,34670,33582,49652,161496,450096,1e+07,1372596.66,484445.88,161481.96,145333.764,113037.372,96889.176,500594.076,484445.88,694372.428,1259559.288,3084305.436,19967940.48,1e+07,1372596.66,484445.88,161481.96,145333.764,113037.372,96889.176,500594.076,484445.88,694372.428,1259559.288,3084305.436,1e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343149.1,121111.4,2523.1,178.1,91.2,36.2,14.4,14.4,13.9,7.7,6.8
2018-Apr-06,16544298,0,1,2,34,700,1051,2514,33557,30261,48290,171334,417622,15955947.28,1406265.33,496328.94,165442.98,148898.682,115810.086,99265.788,512873.238,496328.94,711404.814,1290455.244,3159960.918,21989242.4,15955947.28,1406265.33,496328.94,165442.98,148898.682,115810.086,99265.788,512873.238,496328.94,711404.814,1290455.244,3159960.918,15955947.28,0,0,0,0,0,0,0,0,0,0,0,1e+07,0,0,0,0,0,0,0,0,0,0,0,0,1406265.3,248164.4,4865.9,212.7,110.1,39.4,15.8,15.8,14.7,7.5,7.5
2018-Apr-13,18916770,0,5,3,36,734,1338,1562,22144,31956,59936,112236,451540,24755226.88,1607925.45,567503.1,189167.7,170250.93,132417.39,113500.62,586419.87,567503.1,813421.11,1475508.06,3613103.07,22284225,24755226.88,1607925.45,567503.1,189167.7,170250.93,132417.39,113500.62,586419.87,567503.1,813421.11,1475508.06,3613103.07,24755226.88,0,0,0,0,0,0,0,0,0,0,0,15955947.28,0,0,0,0,0,0,0,0,0,0,0,0,321585,189167.6,5254.6,231.9,98.9,72.6,26.4,17.7,13.5,13.1,8
2018-Apr-20,18588642,0,3,7,48,729,1168,1967,28582,31401,50184,150904,462026,33731363,1580034.57,557659.26,185886.42,167297.778,130120.494,111531.852,576247.902,557659.26,799311.606,1449914.076,3550430.622,22275978.38,33731363,1580034.57,557659.26,185886.42,167297.778,130120.494,111531.852,576247.902,557659.26,799311.606,1449914.076,3550430.622,33731363,0,0,0,0,0,0,0,0,0,0,0,24755226.88,0,0,0,0,0,0,0,0,0,0,0,0,526678.1,79665.6,3872.6,229.4,111.4,56.7,20.1,17.7,15.9,9.6,7.6
2018-Apr-27,20731505,0,4,6,42,545,1280,1501,21369,27546,58772,114910,421801,43470683.18,1762177.925,621945.15,207315.05,186583.545,145120.535,124389.03,642676.655,621945.15,891454.715,1617057.39,3959717.455,22541066.8,43470683.18,1762177.925,621945.15,207315.05,186583.545,145120.535,124389.03,642676.655,621945.15,891454.715,1617057.39,3959717.455,43470683.18,0,0,0,0,0,0,0,0,0,0,0,33731363,0,0,0,0,0,0,0,0,0,0,0,0,440544.4,103657.5,4936,342.3,113.3,82.8,30,22.5,15.1,14,9.3
2018-May-04,23074789,0,5,5,54,810,1280,2911,43438,36852,60495,231220,548251,54318674.02,1961357.065,692243.67,230747.89,207673.101,161523.523,138448.734,715318.459,692243.67,992215.927,1799833.542,4407284.699,22821219.66,54318674.02,1961357.065,692243.67,230747.89,207673.101,161523.523,138448.734,715318.459,692243.67,992215.927,1799833.542,4407284.699,54318674.02,0,0,0,0,0,0,0,0,0,0,0,43470683.18,0,0,0,0,0,0,0,0,0,0,0,0,392271.4,138448.7,4273.1,256.3,126.1,47.5,17.5,17.5,16.4,7.9,7.9
2018-May-11,24781675,0,3,14,57,1060,2235,2326,31008,42287,88705,161111,576865,66061296.68,2106442.375,743450.25,247816.75,223035.075,173471.725,148690.05,768231.925,743450.25,1065612.025,1932970.65,4733299.925,22999582.2,66061296.68,2106442.375,743450.25,247816.75,223035.075,173471.725,148690.05,768231.925,743450.25,1065612.025,1932970.65,4733299.925,66061296.68,0,0,0,0,0,0,0,0,0,0,0,54318674.02,0,0,0,0,0,0,0,0,0,0,0,0,702147.4,53103.5,4347.6,210.4,77.6,63.9,24.7,17.5,12,11.9,8.2
2018-May-18,29756317,0,4,7,60,1091,1831,3715,53615,49864,83385,282921,705949,79773153,2529286.945,892689.51,297563.17,267806.853,208294.219,178537.902,922445.827,892689.51,1279521.631,2320992.726,5683456.547,23616055.78,79773153,2529286.945,892689.51,297563.17,267806.853,208294.219,178537.902,922445.827,892689.51,1279521.631,2320992.726,5683456.547,79773153,0,0,0,0,0,0,0,0,0,0,0,66061296.68,0,0,0,0,0,0,0,0,0,0,0,0,632321.7,127527,4959.3,245.4,113.7,48,17.5,17.5,15.3,8.2,8
2018-May-25,35775782,0,4,11,83,1071,1834,3654,58490,51579,86930,335422,782101,9e+07,9309431.77,1073273.46,357757.82,321982.038,250430.474,214654.692,1109049.242,1073273.46,1538358.626,2790510.996,6833174.362,24317725.58,96268490.3,3040941.47,1073273.46,357757.82,321982.038,250430.474,214654.692,1109049.242,1073273.46,1538358.626,2790510.996,6833174.362,9e+07,0,0,0,0,0,0,0,0,0,0,0,79773153,0,0,0,0,0,0,0,0,0,0,0,0,2327357.9,97570.3,4310.3,300.6,136.5,58.7,19.8,19.8,17.6,8.6,8.6
2018-Jun-01,39637773,0,3,13,119,1388,2416,5644,85289,66097,107953,444634,971800,9e+07,21956534.57,1189133.19,396377.73,356739.957,277464.411,237826.638,1228770.963,1189133.19,1704424.239,3091746.294,7570814.643,24816615.28,108587323.9,3369210.705,1189133.19,396377.73,356739.957,277464.411,237826.638,1228770.963,1189133.19,1704424.239,3091746.294,7570814.643,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,0,7318844.8,91471.7,3330.9,257,114.8,42.1,15.9,15.9,15.7,7.5,7.5
2018-Jun-08,41682699,0,5,13,89,1764,3703,3349,47103,68760,146021,252881,941723,9e+07,23365416.34,1250480.97,416826.99,375144.291,291778.893,250096.194,1292163.669,1250480.97,1792356.057,3251250.522,7961395.509,25078490.78,109822386.9,3543029.415,1250480.97,416826.99,375144.291,291778.893,250096.194,1292163.669,1250480.97,1792356.057,3251250.522,7961395.509,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,0,4673083.2,96190.8,4683.4,212.6,78.7,74.6,27.4,18.1,12.6,12.6,8.4
2018-Jun-15,42268189,0,28,41,140,3383,6656,4438,54351,87027,168026,273714,1055581,9e+07,23887834.89,1268045.67,422681.89,380413.701,295877.323,253609.134,1310313.859,1268045.67,1817532.127,3296918.742,8073224.099,25164550.28,110295038.8,3592796.065,1268045.67,422681.89,380413.701,295877.323,253609.134,1310313.859,1268045.67,1817532.127,3296918.742,8073224.099,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,0,853136.9,30927.9,3019.1,112.4,49.5,49.5,24.1,14.5,11.5,11.5,7.6
2018-Jun-22,42118940,0,11,20,93,1917,2817,4160,55962,77501,121233,291643,1083078,9e+07,23907478.58,1263568.2,421189.4,379070.46,294832.58,252713.64,1305687.14,1263568.2,1811114.42,3285277.32,8044717.54,25110363.98,110327368.7,3580109.9,1263568.2,421189.4,379070.46,294832.58,252713.64,1305687.14,1263568.2,1811114.42,3285277.32,8044717.54,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,0,2173407.1,63178.4,4528.9,197.7,104.6,60.7,23.3,16.3,14.9,11.2,7.4
2018-Jun-29,42145418,0,4,8,82,1339,2346,4152,63113,61831,108032,349323,945584,9e+07,23865074.99,1264362.54,421454.18,379308.762,295017.926,252872.508,1306507.958,1264362.54,1812252.974,3287342.604,8049774.838,25084917.68,110282714.5,3582360.53,1264362.54,421454.18,379308.762,295017.926,252872.508,1306507.958,1264362.54,1812252.974,3287342.604,8049774.838,9e+07,0,0,0,0,0,0,0,0,0,0,0,9e+07,0,0,0,0,0,0,0,0,0,0,0,0,5966268.7,158045.3,5139.6,283.2,125.7,60.9,20.7,20.4,16.7,9.4,8.5
